timestamp;pedestrians_count
20221130;4751
20221201;25905
20221202;23087
20221203;43260
20221204;24616
20221205;20381
20221206;20432
20221207;23102
20221208;24873
20221209;29738
20221210;41068
20221211;22159
20221212;20719
20221213;21746
20221214;19181
20221215;23788
20221216;27303
20221217;37190
20221218;17365
20221219;22053
20221220;27228
20221221;23722
20221222;27023
20221223;23475
20221224;16972
20221225;6305
20221226;5687
20221227;17291
20221228;16478
20221229;15938
20221230;16114
20221231;15784
20230101;9869
20230102;14317
20230103;15191
20230104;10831
20230105;15996
20230106;8108
20230107;20697
20230108;6533
20230109;12468
20230110;12822
20230111;11191
20230112;12840
20230113;14977
20230114;18890
20230115;6051
20230116;12630
20230117;14184
20230118;10852
20230119;12992
20230120;14804
20230121;17097
20230122;6808
20230123;12316
20230124;13015
20230125;11991
20230126;12960
20230127;14994
20230128;18747
20230129;7172
20230130;11126
20230131;12536
20230201;11619
20230202;7020
20230203;14156
20230204;23738
20230205;8934
20230206;12570
20230207;15003
20230208;13847
20230209;14510
20230210;14893
20230211;19758
20230212;7877
20230213;13330
20230214;13943
20230215;12612
20230216;14672
20230217;15809
20230218;20199
20230219;7774
20230220;16342
20230221;16867
20230222;15845
20230223;14009
20230224;15936
20230225;16917
20230226;7242
20230227;11999
20230228;13570
20230301;13357
20230302;15610
20230303;18628
20230304;18818
20230305;6679
20230306;11689
20230307;12804
20230308;7745
20230309;12870
20230310;12926
20230311;19839
20230312;7821
20230313;14289
20230314;10351
20230315;11189
20230316;15325
20230317;18391
20230318;26357
20230319;9126
20230320;13822
20230321;16005
20230322;16697
20230323;13781
20230324;14896
20230325;25287
20230326;7181
20230327;11061
20230328;13240
20230329;13317
20230330;12199
20230331;15325
20230401;18853
20230402;9672
20230403;15055
20230404;15647
20230405;15876
20230406;19287
20230407;10300
20230408;20909
20230409;11127
20230410;13223
20230411;16380
20230412;10718
20230413;16287
20230414;18577
20230415;16710
20230416;9594
20230417;15073
20230418;15916
20230419;15326
20230420;15885
20230421;21982
20230422;26418
20230423;12459
20230424;13579
20230425;13992
20230426;14522
20230427;17427
20230428;15169
20230429;23476
20230430;14092
