location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Hauptstraße (Süd), Erlangen;2024-01-01 00:00:00 +0100;Monday;1950;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 01:00:00 +0100;Monday;774;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 02:00:00 +0100;Monday;596;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-01 03:00:00 +0100;Monday;449;5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 04:00:00 +0100;Monday;314;4;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 05:00:00 +0100;Monday;214;4;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 06:00:00 +0100;Monday;135;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 07:00:00 +0100;Monday;38;4;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 08:00:00 +0100;Monday;40;4;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 09:00:00 +0100;Monday;65;4;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 10:00:00 +0100;Monday;116;6;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-01 11:00:00 +0100;Monday;276;7;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-01 12:00:00 +0100;Monday;315;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 13:00:00 +0100;Monday;398;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 14:00:00 +0100;Monday;465;8;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-01 15:00:00 +0100;Monday;621;8;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 16:00:00 +0100;Monday;665;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 17:00:00 +0100;Monday;512;7;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 18:00:00 +0100;Monday;438;7;rain;
Hauptstraße (Süd), Erlangen;2024-01-01 19:00:00 +0100;Monday;360;6;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 20:00:00 +0100;Monday;268;6;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 21:00:00 +0100;Monday;215;6;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-01 22:00:00 +0100;Monday;153;6;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-01 23:00:00 +0100;Monday;55;4;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-02 00:00:00 +0100;Tuesday;41;5;cloudy;
Hauptstraße (Süd), Erlangen;2024-01-02 01:00:00 +0100;Tuesday;10;6;partly-cloudy-night;
