category,Niederschlag (6 bis 6 UTC)
Mo 01.01.,4.2
Di 02.01.,18.8
Mi 03.01.,11.1
Do 04.01.,1
Fr 05.01.,0
Sa 06.01.,0
So 07.01.,0
Mo 08.01.,0
Di 09.01.,0
Mi 10.01.,0
Do 11.01.,0
Fr 12.01.,0
Sa 13.01.,0
So 14.01.,0
Mo 15.01.,0.7
Di 16.01.,0
Mi 17.01.,10.2
Do 18.01.,6.7
Fr 19.01.,0
Sa 20.01.,0
So 21.01.,0
Mo 22.01.,5.7
Di 23.01.,1
Mi 24.01.,0.3
Do 25.01.,1.3
Fr 26.01.,3.7
Sa 27.01.,0
So 28.01.,0
Mo 29.01.,0
Di 30.01.,0.1
Mi 31.01.,1.7
Do 01.02.,3.6
Fr 02.02.,0
Sa 03.02.,0
So 04.02.,0.2
Mo 05.02.,0
Di 06.02.,0
Mi 07.02.,17.8
Do 08.02.,10.1
Fr 09.02.,7.4
Sa 10.02.,0.1
So 11.02.,5.9
Mo 12.02.,2.1
Di 13.02.,0
Mi 14.02.,1.2
Do 15.02.,0
Fr 16.02.,2.8
Sa 17.02.,0
So 18.02.,5.2
Mo 19.02.,2.5
Di 20.02.,0.7
Mi 21.02.,2.5
Do 22.02.,11.1
Fr 23.02.,0
Sa 24.02.,1.7
So 25.02.,0
Mo 26.02.,0
Di 27.02.,0
Mi 28.02.,0
Do 29.02.,0
Fr 01.03.,0
Sa 02.03.,0
So 03.03.,0
Mo 04.03.,0
Di 05.03.,0.5
Mi 06.03.,0
Do 07.03.,0
Fr 08.03.,0
Sa 09.03.,0
So 10.03.,0.2
Mo 11.03.,0
Di 12.03.,0.1
Mi 13.03.,1.2
Do 14.03.,0
Fr 15.03.,0.3
Sa 16.03.,4.4
So 17.03.,0
Mo 18.03.,0
Di 19.03.,0
Mi 20.03.,0
Do 21.03.,0.8
Fr 22.03.,0.1
Sa 23.03.,1.7
So 24.03.,3.6
Mo 25.03.,0
Di 26.03.,0
Mi 27.03.,17.1
Do 28.03.,1.2
Fr 29.03.,2.1
Sa 30.03.,0
So 31.03.,0
Mo 01.04.,1.1
Di 02.04.,0
Mi 03.04.,3.6
Do 04.04.,6
Fr 05.04.,0.9
Sa 06.04.,0
So 07.04.,0
Mo 08.04.,0
Di 09.04.,1.7
Mi 10.04.,0
Do 11.04.,0
Fr 12.04.,0
Sa 13.04.,0
So 14.04.,1.5
Mo 15.04.,3
Di 16.04.,5.5
Mi 17.04.,0
Do 18.04.,3.9
Fr 19.04.,8.7
Sa 20.04.,14.4
So 21.04.,1.4
Mo 22.04.,0
Di 23.04.,0
Mi 24.04.,1.2
Do 25.04.,1.2
Fr 26.04.,0
Sa 27.04.,0
So 28.04.,0
Mo 29.04.,0
Di 30.04.,0
Mi 01.05.,0
Do 02.05.,16.1
Fr 03.05.,0
Sa 04.05.,0.6
So 05.05.,10.4
Mo 06.05.,7.2
Di 07.05.,0.6
Mi 08.05.,0
Do 09.05.,0
Fr 10.05.,0
Sa 11.05.,0
So 12.05.,0
Mo 13.05.,0
