category,Niederschlag (6 bis 6 UTC)
Mo 01.01.,2.9
Di 02.01.,14.4
Mi 03.01.,11.6
Do 04.01.,0.9
Fr 05.01.,0
Sa 06.01.,0
So 07.01.,0
Mo 08.01.,0
Di 09.01.,0
Mi 10.01.,0
Do 11.01.,0
Fr 12.01.,0
Sa 13.01.,0
So 14.01.,0.1
Mo 15.01.,0.5
Di 16.01.,0
Mi 17.01.,10.1
Do 18.01.,3.5
Fr 19.01.,0
Sa 20.01.,0
So 21.01.,0
Mo 22.01.,4.3
Di 23.01.,0.9
Mi 24.01.,0.6
Do 25.01.,1.9
Fr 26.01.,3.1
Sa 27.01.,0
So 28.01.,0
Mo 29.01.,0
Di 30.01.,0
Mi 31.01.,0.8
Do 01.02.,1.4
Fr 02.02.,0
Sa 03.02.,0
So 04.02.,0.1
Mo 05.02.,0
Di 06.02.,0
Mi 07.02.,8
Do 08.02.,7.5
Fr 09.02.,7
Sa 10.02.,0.4
So 11.02.,4.9
Mo 12.02.,0.3
Di 13.02.,0
Mi 14.02.,0.6
Do 15.02.,0
Fr 16.02.,3.2
Sa 17.02.,0
So 18.02.,3
Mo 19.02.,1.3
Di 20.02.,0.3
Mi 21.02.,2.7
Do 22.02.,7.3
Fr 23.02.,0
Sa 24.02.,1.2
So 25.02.,0
Mo 26.02.,0
Di 27.02.,0
Mi 28.02.,0
Do 29.02.,0
Fr 01.03.,0
Sa 02.03.,0
So 03.03.,0
Mo 04.03.,0
Di 05.03.,0.1
Mi 06.03.,0
Do 07.03.,0
Fr 08.03.,0
Sa 09.03.,0
So 10.03.,0.4
Mo 11.03.,0
Di 12.03.,0.1
Mi 13.03.,1.3
Do 14.03.,0
Fr 15.03.,0.2
Sa 16.03.,0.8
So 17.03.,0
Mo 18.03.,0
Di 19.03.,0
Mi 20.03.,0
Do 21.03.,4.6
Fr 22.03.,0.2
Sa 23.03.,2.9
So 24.03.,2.9
Mo 25.03.,0
Di 26.03.,0
Mi 27.03.,15.1
Do 28.03.,0.9
Fr 29.03.,1.5
Sa 30.03.,0
So 31.03.,0
Mo 01.04.,0.3
Di 02.04.,0.3
Mi 03.04.,4.7
Do 04.04.,4.6
Fr 05.04.,0
Sa 06.04.,0
So 07.04.,0
Mo 08.04.,0
Di 09.04.,1.2
Mi 10.04.,0
Do 11.04.,0
Fr 12.04.,0
Sa 13.04.,0
So 14.04.,2.8
Mo 15.04.,2.2
Di 16.04.,7
Mi 17.04.,1
Do 18.04.,1.3
Fr 19.04.,7.1
Sa 20.04.,3.2
So 21.04.,2.5
Mo 22.04.,0
Di 23.04.,0
Mi 24.04.,0.2
Do 25.04.,1.8
Fr 26.04.,0
Sa 27.04.,0
So 28.04.,0
Mo 29.04.,0
Di 30.04.,0
Mi 01.05.,0
Do 02.05.,2
Fr 03.05.,0
Sa 04.05.,0.1
So 05.05.,11.8
Mo 06.05.,3
Di 07.05.,0.9
Mi 08.05.,0
Do 09.05.,0
Fr 10.05.,0
Sa 11.05.,0
So 12.05.,0
Mo 13.05.,0
