category,Höchstwert,Tiefstwert,Mittelwert
Mo 01.01.,8,3.6,5.6
Di 02.01.,9.7,4.3,6.8
Mi 03.01.,10.1,7.4,8.8
Do 04.01.,8.8,3.1,6.8
Fr 05.01.,8.3,1.6,4.6
Sa 06.01.,4.7,0.2,2.9
So 07.01.,3.4,-2.9,0.1
Mo 08.01.,-2.4,-6.4,-4
Di 09.01.,0.6,-7.3,-3.8
Mi 10.01.,1.2,-7.9,-3.6
Do 11.01.,0.5,-9.7,-5.3
Fr 12.01.,-2,-7.7,-3.3
Sa 13.01.,-1.8,-3,-2.4
So 14.01.,-0.4,-5.2,-2.4
Mo 15.01.,-0.1,-4.3,-1.6
Di 16.01.,0.4,-8.3,-2
Mi 17.01.,8.7,-8.5,-0.2
Do 18.01.,8.7,-2.2,1.5
Fr 19.01.,-0.8,-3.3,-1.8
Sa 20.01.,1.6,-7,-2.6
So 21.01.,3.1,-9.2,-2.5
Mo 22.01.,8.1,-1,4.4
Di 23.01.,8,3.5,6.1
Mi 24.01.,13.3,4.9,9.6
Do 25.01.,8.3,2.7,6.2
Fr 26.01.,10,3.7,6.7
Sa 27.01.,7.6,-3.4,1.9
So 28.01.,10.4,-3.9,1.8
Mo 29.01.,9.7,-3.9,2.6
Di 30.01.,9.5,-2.7,3.3
Mi 31.01.,9.5,4.8,6.6
Do 01.02.,9.1,1.4,6.4
Fr 02.02.,8.8,-0.3,4.9
Sa 03.02.,7.8,5.8,7.1
So 04.02.,9.3,6.7,8.1
Mo 05.02.,11.3,0.2,7.9
Di 06.02.,9.3,0.1,6.7
Mi 07.02.,9.2,7.1,8.1
Do 08.02.,11.1,7.3,9.3
Fr 09.02.,13.7,8.4,10.3
Sa 10.02.,12.1,3.6,8.6
So 11.02.,8.3,3.7,6.5
Mo 12.02.,8.6,4,6.7
Di 13.02.,8.7,-0.3,4.3
Mi 14.02.,10.4,-0.1,6.1
Do 15.02.,15.2,5.1,10.1
Fr 16.02.,13.8,5.5,10.1
Sa 17.02.,12.5,8.1,10.3
So 18.02.,13.3,6.1,9.5
Mo 19.02.,8.7,7.2,8.1
Di 20.02.,9.9,6.2,7.4
Mi 21.02.,11.9,5.3,8.4
Do 22.02.,11.3,7.3,9.5
Fr 23.02.,9.8,0.9,5.8
Sa 24.02.,10.4,-1.2,4
So 25.02.,11.3,-1.1,4.8
Mo 26.02.,12.9,0.7,6.6
Di 27.02.,10.6,4.2,6.7
Mi 28.02.,8.2,-2.6,4.4
Do 29.02.,9.3,-1.3,4.5
Fr 01.03.,9.5,-2.5,4.4
Sa 02.03.,13.2,4.1,7.8
So 03.03.,16.2,3,9.1
Mo 04.03.,9.3,0.3,5.8
Di 05.03.,11.1,6.6,7.8
Mi 06.03.,10.3,1.8,7.2
Do 07.03.,7.3,-0.5,3.6
Fr 08.03.,11.2,-0.7,4.6
Sa 09.03.,15.4,-1.8,7.1
So 10.03.,12.7,5.3,8.7
Mo 11.03.,14.7,2.8,8.4
Di 12.03.,9.9,-1.3,5.8
Mi 13.03.,10.9,4.5,8
Do 14.03.,16.3,6.9,10.7
Fr 15.03.,17.3,5.3,11
Sa 16.03.,14.3,5,9.7
So 17.03.,12.3,1.9,7.3
Mo 18.03.,12.5,2.5,8.1
Di 19.03.,15.6,4.7,9.3
Mi 20.03.,17.3,1.9,9.9
Do 21.03.,15.6,3.4,8.8
Fr 22.03.,17.6,1.5,10.1
Sa 23.03.,10.8,3,7.6
So 24.03.,7.9,2.4,4.3
Mo 25.03.,11.1,0.7,6
Di 26.03.,15.8,-0.8,7.6
Mi 27.03.,19,2.6,9.7
Do 28.03.,11.3,2.9,6.9
Fr 29.03.,16,3.4,9.3
Sa 30.03.,21.2,8.2,14.6
So 31.03.,20.1,4.9,12.9
Mo 01.04.,14.2,7.7,10.7
Di 02.04.,13.2,7.2,9.7
Mi 03.04.,14,5.9,9.8
Do 04.04.,14.8,8.4,11.1
Fr 05.04.,22.5,7.3,15.4
Sa 06.04.,26.1,10.8,18.4
So 07.04.,23.5,9.9,17.7
Mo 08.04.,28.6,11.6,20.2
Di 09.04.,19.8,7.5,13.1
Mi 10.04.,13,3.6,8.9
Do 11.04.,17.8,0.7,9.8
Fr 12.04.,20.8,3.2,12.7
Sa 13.04.,23.2,6.6,15.3
So 14.04.,22.5,9.4,16.4
Mo 15.04.,17.1,4.6,12
Di 16.04.,10.8,1.4,6
Mi 17.04.,9.5,0.9,5.5
Do 18.04.,10.8,2.2,5.6
Fr 19.04.,6.5,3.6,5.1
Sa 20.04.,9.3,4.1,5.8
So 21.04.,5.8,1.6,3.5
Mo 22.04.,8.7,-1.9,3.5
Di 23.04.,10.2,-2,4.5
Mi 24.04.,8.2,-1.3,3.3
Do 25.04.,9.1,1.4,4.9
Fr 26.04.,15.2,0.1,8.6
Sa 27.04.,21,4.2,13.2
So 28.04.,22,4.9,14.3
Mo 29.04.,22.7,8.6,15.5
Di 30.04.,27.6,7.3,18.8
Mi 01.05.,26.2,13.1,19.6
Do 02.05.,26.1,12.1,17.5
Fr 03.05.,13.6,9.5,12.2
Sa 04.05.,19.2,7.6,13.2
So 05.05.,18.6,9.7,14
Mo 06.05.,19.3,9.8,14
Di 07.05.,12.8,10,11.7
Mi 08.05.,14.4,8.4,11.4
Do 09.05.,20.4,4.3,13
Fr 10.05.,22.6,4.3,14.5
Sa 11.05.,23.2,6.1,15.7
So 12.05.,24.2,7.1,17.1
Mo 13.05.,24.7,10.4,18.3
